file,line,detail
cutter.c,69,add, task_id,55, successor_cnt,6, successor_id, 61
cutter.c,69,add, task_id,55, successor_cnt,7, successor_id, 62
cutter.c,69,add, task_id,55, successor_cnt,8, successor_id, 63
cutter.c,69,add, task_id,55, successor_cnt,9, successor_id, 64
cutter.c,69,add, task_id,56, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,57, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,58, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,59, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,60, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,61, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,63, successor_cnt,1, successor_id, 65
cutter.c,69,add, task_id,10, successor_cnt,1, successor_id, 66
cutter.c,69,add, task_id,66, successor_cnt,1, successor_id, 67
cutter.c,69,add, task_id,67, successor_cnt,1, successor_id, 68
cutter.c,69,add, task_id,66, successor_cnt,2, successor_id, 69
cutter.c,69,add, task_id,68, successor_cnt,1, successor_id, 69
cutter.c,69,add, task_id,69, successor_cnt,1, successor_id, 70
cutter.c,69,add, task_id,68, successor_cnt,2, successor_id, 70
cutter.c,69,add, task_id,10, successor_cnt,2, successor_id, 71
cutter.c,69,add, task_id,71, successor_cnt,1, successor_id, 72
cutter.c,69,add, task_id,72, successor_cnt,1, successor_id, 73
cutter.c,69,add, task_id,71, successor_cnt,2, successor_id, 74
cutter.c,69,add, task_id,73, successor_cnt,1, successor_id, 74
cutter.c,69,add, task_id,74, successor_cnt,1, successor_id, 75
cutter.c,69,add, task_id,73, successor_cnt,2, successor_id, 75
cutter.c,69,add, task_id,10, successor_cnt,3, successor_id, 76
cutter.c,69,add, task_id,76, successor_cnt,1, successor_id, 77
cutter.c,69,add, task_id,77, successor_cnt,1, successor_id, 78
cutter.c,69,add, task_id,76, successor_cnt,2, successor_id, 79
cutter.c,69,add, task_id,78, successor_cnt,1, successor_id, 79
cutter.c,69,add, task_id,79, successor_cnt,1, successor_id, 80
cutter.c,69,add, task_id,78, successor_cnt,2, successor_id, 80
cutter.c,69,add, task_id,10, successor_cnt,4, successor_id, 81
cutter.c,69,add, task_id,81, successor_cnt,1, successor_id, 82
cutter.c,69,add, task_id,82, successor_cnt,1, successor_id, 83
cutter.c,69,add, task_id,81, successor_cnt,2, successor_id, 84
cutter.c,69,add, task_id,83, successor_cnt,1, successor_id, 84
cutter.c,69,add, task_id,84, successor_cnt,1, successor_id, 85
cutter.c,69,add, task_id,83, successor_cnt,2, successor_id, 85
